text,sentiment
?매체?포함을?찬성하는?의견은?33?언어만?출제해야?된다는?의견은?35로?매체를?제외하자는?의견이?약간?앞섰다,중립
 이날 발표에는 1분기 백신 도입 및 접종 계획 65살 이상 노인에 대한 아스트라제네카 백신 접종 여부가 포함된다,중립
 CNSA 디플로마는 융합 디플로마 고급 디플로마 이중언어 디플로마로 구성되어 있고 디플로마 이수조건은 과목이수뿐 아니라 봉사활동80시간 진로직업체험17시간 창의적산출물 제출까지 포함한다,중립
?특히?자연계열은?수학탐구?반영비율이?상대적으로?높은?편이다,중립
?그래야?지원?희망?대학들이?어느?영역이?높게?반영하고?어느?영역을?낮게?반영하는지?비교해?볼?수?있을?뿐만?아니라?영역별?반영?비율에?따른?지원?시?유불리를?파악할?수도?있게?된다,긍정
?학종?평가의?중심이?교과에?있다는?것이?대학?관계자들이?누누이?지적해온?사안이다,중립
뉴스줌인SW 혁신성장 가로막는 저가 입찰,부정
 백신접종 대상자가 접종 예약 신청 과정에서 국민비서 서비스를 신청하고 알림 채널을 네이버로 설정하면 된다,중립
 그렇지만 아직은 우리 손에 쥐어준 백신이 있는 것은 아니고 임상 연구 결과만 나왔다며 이것으로 당장 세상이 변하는 것은 하나도 없다고 했다,부정
 과거 진단방법보다 시간을 절반으로 단축할 수 있다,긍정
?지난해에는?봉사시간이?30시간?이상이어야?만점이었으나?5시간?줄었다,중립
2일 오전 전남 함평군 한 초등학교가 코로나19 확산 예방을 위해 교정을 일시 폐쇄하고 교문을 잠갔다,중립
?모집인원과?전년?입시결과를?파악해?합격선에?몰릴?가능성이?높다면?동점자?처리기준이?본인에게?유리한지?살펴야?한다,중립
